Plan Name,Participating Plan?,Plan Alpha Prefix,Logo File,Plan Name Displayed,Plan Specific URL,Blue365 Logo Style,Update Action,Updated on
Independence Blue Cross,YES,YXA,IBC.png,Independence Blue Cross,www.Blue365deals.com/IBX/,Blue365 w/o Cross & Shield,Delete,17-Jan-2012
Independence Blue Cross,YES,YXB,IBC.png,Independence Blue Cross,www.Blue365deals.com/IBX/,Blue365 w/o Cross & Shield,Delete,17-Jan-2012
Blue Cross and Blue Shield of Massachusetts,YES,VNA,BCBSMA.png,Blue Cross and Blue Shield of Massachusetts,www.Blue365deals.com/BCBSMA/,Blue365 w/ Cross & Shield,Delete,17-Jan-2012
Blue Cross and Blue Shield of South Carolina,YES,ZCC,BCBSSC.png,Blue Cross and Blue Shield of South Carolina,www.Blue365deals.com/BCBSSC/,Blue365 w/ Cross & Shield,Delete,17-Jan-2012
Blue Cross and Blue Shield of South Carolina,YES,ZCL,BCBSSC.png,Blue Cross and Blue Shield of South Carolina,www.Blue365deals.com/BCBSSC/,Blue365 w/ Cross & Shield,Delete,17-Jan-2012
Blue Cross and Blue Shield of South Carolina,YES,ZCD,BCBSSC.png,Blue Cross and Blue Shield of South Carolina,www.Blue365deals.com/BCBSSC/,Blue365 w/ Cross & Shield,Delete,17-Jan-2012
Excellus BlueCross BlueShield,YES,ZFY,ExcellusBCBS.png,Excellus BlueCross BlueShield,www.Blue365deals.com/ExcellusBCBS/,Blue365 w/ Cross & Shield,Delete,17-Jan-2012
Excellus BlueCross BlueShield,YES,ZFM,ExcellusBCBS.png,Excellus BlueCross BlueShield,www.Blue365deals.com/ExcellusBCBS/,Blue365 w/ Cross & Shield,Delete,17-Jan-2012
Excellus BlueCross BlueShield,YES,ZFX,ExcellusBCBS.png,Excellus BlueCross BlueShield,www.Blue365deals.com/ExcellusBCBS/,Blue365 w/ Cross & Shield,Delete,17-Jan-2012
Excellus BlueCross BlueShield,YES,ZFL,ExcellusBCBS.png,Excellus BlueCross BlueShield,www.Blue365deals.com/ExcellusBCBS/,Blue365 w/ Cross & Shield,Delete,17-Jan-2012
Excellus BlueCross BlueShield ,YES,YOM,ExcellusBCBS.png,Excellus BlueCross BlueShield,www.Blue365deals.com/ExcellusBCBS/,Blue365 w/ Cross & Shield,Delete,17-Jan-2012
Excellus BlueCross BlueShield ,YES,YMM,ExcellusBCBS.png,Excellus BlueCross BlueShield,www.Blue365deals.com/ExcellusBCBS/,Blue365 w/ Cross & Shield,Delete,17-Jan-2012
Excellus BlueCross BlueShield ,YES,YNY,ExcellusBCBS.png,Excellus BlueCross BlueShield,www.Blue365deals.com/ExcellusBCBS/,Blue365 w/ Cross & Shield,Delete,17-Jan-2012
Excellus BlueCross BlueShield ,YES,YMS,ExcellusBCBS.png,Excellus BlueCross BlueShield,www.Blue365deals.com/ExcellusBCBS/,Blue365 w/ Cross & Shield,Delete,17-Jan-2012
Independence Administrators,YES,YXA,Independence_Admin.png,Independence Administrators,www.Blue365deals.com/IBXTPA/,Blue365 w/o Cross & Shield,Add,17-Jan-2012
Independence Administrators,YES,YXB,Independence_Admin.png,Independence Administrators,www.Blue365deals.com/IBXTPA/,Blue365 w/o Cross & Shield,Add,17-Jan-2012
Blue Benefit Administrators of Massachusetts,YES,VNA,BlueBenefitAdmin.png,Blue Benefit Administrators of Massachusetts,www.Blue365deals.com/BlueBenefitMA/,Blue365 w/ Cross & Shield,Add,17-Jan-2012
BlueChoice HealthPlan South Carolina,YES,ZCC,BlueChoice_HP_SC.png,BlueChoice HealthPlan,www.Blue365deals.com/BlueChoiceSC/,Blue365 w/ Cross & Shield,Add,17-Jan-2012
BlueChoice HealthPlan South Carolina,YES,ZCL,BlueChoice_HP_SC.png,BlueChoice HealthPlan,www.Blue365deals.com/BlueChoiceSC/,Blue365 w/ Cross & Shield,Add,17-Jan-2012
BlueChoice HealthPlan South Carolina,YES,ZCD,BlueChoice_HP_SC.png,BlueChoice HealthPlan,www.Blue365deals.com/BlueChoiceSC/,Blue365 w/ Cross & Shield,Add,17-Jan-2012
Excellus BlueCross BlueShield - Medicare,YES,ZFY,ExcellusBCBS.png,Excellus BlueCross BlueShield - Medicare,www.Blue365deals.com/ExcellusBCBSMedicare/,Blue365 w/ Cross & Shield,Add,17-Jan-2012
Excellus BlueCross BlueShield - Medicare,YES,ZFM,ExcellusBCBS.png,Excellus BlueCross BlueShield - Medicare,www.Blue365deals.com/ExcellusBCBSMedicare/,Blue365 w/ Cross & Shield,Add,17-Jan-2012
Excellus BlueCross BlueShield - Medicare,YES,ZFX,ExcellusBCBS.png,Excellus BlueCross BlueShield - Medicare,www.Blue365deals.com/ExcellusBCBSMedicare/,Blue365 w/ Cross & Shield,Add,17-Jan-2012
Excellus BlueCross BlueShield - Medicare,YES,ZFL,ExcellusBCBS.png,Excellus BlueCross BlueShield - Medicare,www.Blue365deals.com/ExcellusBCBSMedicare/,Blue365 w/ Cross & Shield,Add,17-Jan-2012
Excellus BlueCross BlueShield - Medicare,YES,YOM,ExcellusBCBS.png,Excellus BlueCross BlueShield - Medicare,www.Blue365deals.com/ExcellusBCBSMedicare/,Blue365 w/ Cross & Shield,Add,17-Jan-2012
Excellus BlueCross BlueShield - Medicare,YES,YMM,ExcellusBCBS.png,Excellus BlueCross BlueShield - Medicare,www.Blue365deals.com/ExcellusBCBSMedicare/,Blue365 w/ Cross & Shield,Add,17-Jan-2012
Excellus BlueCross BlueShield - Medicare,YES,YNY,ExcellusBCBS.png,Excellus BlueCross BlueShield - Medicare,www.Blue365deals.com/ExcellusBCBSMedicare/,Blue365 w/ Cross & Shield,Add,17-Jan-2012
Excellus BlueCross BlueShield - Medicare,YES,YMS,ExcellusBCBS.png,Excellus BlueCross BlueShield - Medicare,www.Blue365deals.com/ExcellusBCBSMedicare/,Blue365 w/ Cross & Shield,Add,17-Jan-2012
